,index,Link,LCP_m,LCP_o,INP_m,INP_o,FCP_m,FCP_o,TTF_m,TTF_o,CLS_m,CLS_o,FID_m,FID_o
39,39,https://www.iihf.com/,1.4 s,1.4 s,130 ms,36 ms,1.1 s,0.9 s,0.5 s,0.5 s,0,0.15,12 ms,2 ms
40,40,https://www.ijf.org/,1 s,0.8 s,98 ms,40 ms,0.9 s,0.8 s,0.6 s,0.6 s,0,0.01,14 ms,2 ms
41,41,https://www.independent.co.uk/sport,1.8 s,1.2 s,201 ms,96 ms,1.3 s,0.9 s,0.5 s,0.3 s,0.21,0.06,20 ms,6 ms
42,42,https://www.ittf.com/,2 s,1.8 s,155 ms,49 ms,1.7 s,1.5 s,1.1 s,1.1 s,0,0.05,24 ms,2 ms
43,43,https://www.lequipe.fr/,1.7 s,1.5 s,551 ms,109 ms,1.3 s,0.8 s,0.8 s,0.4 s,0.12,0.08,43 ms,5 ms
44,44,https://www.livefutbol.com/,3.8 s,2.2 s,676 ms,142 ms,2.6 s,1.7 s,0.9 s,0.8 s,0.36,0.15,248 ms,19 ms
45,45,https://www.marca.com/,1.8 s,1.4 s,283 ms,73 ms,1.3 s,0.8 s,0.3 s,0.2 s,0.11,0.14,36 ms,3 ms
46,46,https://www.mlb.com/,5.3 s,3.8 s,504 ms,190 ms,2.5 s,2 s,0.6 s,0.5 s,0.04,0.08,25 ms,6 ms
47,47,https://www.motogp.com/en,3.2 s,2.4 s,265 ms,58 ms,1.9 s,1.2 s,0.6 s,0.5 s,0.18,0.11,23 ms,3 ms
48,48,https://www.motorsport.com/,1.2 s,1.2 s,179 ms,67 ms,1 s,0.8 s,0.5 s,0.4 s,0.02,0.04,25 ms,4 ms
49,49,https://www.mundodeportivo.com/,1.9 s,1.8 s,305 ms,108 ms,1.4 s,1.1 s,0.5 s,0.4 s,0.05,0.13,25 ms,4 ms
50,50,https://www.nascar.com/,2.7 s,2.3 s,154 ms,92 ms,1.5 s,1.2 s,0.4 s,0.3 s,0.15,0.1,19 ms,6 ms
51,51,https://www.nbcsports.com/,2.3 s,1.6 s,146 ms,72 ms,1.3 s,1 s,0.6 s,0.5 s,0.02,0.02,17 ms,4 ms
52,52,https://www.nhl.com/,2.6 s,2 s,146 ms,68 ms,1.1 s,0.9 s,0.6 s,0.5 s,0.09,0.08,19 ms,3 ms
53,53,https://www.padelfip.com/,2 s,1.8 s,107 ms,49 ms,1.5 s,1.4 s,1 s,1 s,0.06,0.12,10 ms,2 ms
54,54,https://www.paralympic.org/,3.5 s,3.4 s,227 ms,62 ms,3.2 s,3.1 s,2.4 s,2.5 s,0.13,0.1,15 ms,3 ms
55,55,https://www.powerlifting.sport/,1.5 s,1.5 s,80 ms,29 ms,1.3 s,1.2 s,0.8 s,0.9 s,0,0.11,14 ms,2 ms
56,56,https://www.premierleague.com/,3.4 s,1.8 s,211 ms,55 ms,2.3 s,1.2 s,1 s,0.6 s,0.14,0.17,25 ms,3 ms
57,57,https://www.redbull.com/,2.4 s,1.8 s,295 ms,111 ms,1.8 s,1.3 s,0.8 s,0.6 s,0.05,0.06,17 ms,2 ms
58,58,https://www.relevo.com/,1.5 s,1.6 s,202 ms,65 ms,1.3 s,1.1 s,0.4 s,0.4 s,0.07,0.05,22 ms,2 ms
59,59,https://www.runnersworld.com/,1.6 s,1.2 s,358 ms,106 ms,1.2 s,0.9 s,0.4 s,0.3 s,0.04,0.07,15 ms,3 ms
60,60,https://www.sailing.org/,2.7 s,2.5 s,178 ms,65 ms,2.1 s,1.8 s,1.2 s,1.1 s,0.23,0.51,14 ms,3 ms
61,61,https://www.si.com/,2.5 s,2 s,247 ms,86 ms,1.5 s,1.3 s,0.7 s,0.7 s,0.04,0.09,51 ms,6 ms
62,62,https://www.skysports.com/,2 s,1.4 s,155 ms,60 ms,1.5 s,0.9 s,0.5 s,0.3 s,0.02,0.07,17 ms,3 ms
63,63,https://www.sport.es/es/,2.4 s,1.7 s,464 ms,149 ms,2 s,1.2 s,0.3 s,0.2 s,0.08,0.12,72 ms,10 ms
