Website,Images,Gifs,Title Size,Links,Languages,h1,h2,h3,HTTPS,Paragraphs,Meta Description,Meta Keywords,JS Scripts,Size KB,Words,Cookies,MENA,LCP_m(s),LCP_o(s),INP_m(ms),INP_o(ms),FCP_m(s),FCP_o(s),TTF_m(s),TTF_o(s),CLS_m,CLS_o,FID_m(ms),FID_o(ms)
https://www.motogp.com/en,0,0,64,162,2,3,6,43,True,90,True,False,9,246.208984375,1826,False,FALSE,3.2,2.4,265.0,58.0,1.9,1.2,0.6,0.5,0.18,0.11,23.0,3.0
https://www.lequipe.fr/,34,0,43,258,2,0,18,3,True,3,True,False,5,695.2265625,1140,False,FALSE,1.7,1.5,551.0,109.0,1.3,0.8,0.8,0.4,0.12,0.08,43.0,5.0
https://bwfbadminton.com/,50,0,11,125,5,0,20,9,True,1,False,False,13,73.072265625,295,True,FALSE,2.8,2.3,175.0,45.0,1.8,1.4,0.7,0.7,0.89,0.82,14.0,2.0
https://www.skysports.com/,94,0,62,239,2,1,10,35,True,3,True,True,55,465.55078125,1320,False,FALSE,2.0,1.4,155.0,60.0,1.5,0.9,0.5,0.3,0.02,0.07,17.0,3.0
https://www.drf.com/,0,0,63,4,2,0,0,0,True,0,True,True,9,26.048828125,12,False,FALSE,4.9,4.7,463.0,492.0,2.5,1.3,0.6,0.4,0.69,0.3,47.0,7.0
https://www.si.com/,109,0,18,142,5,0,11,52,True,12,True,False,12,634.7783203125,1160,True,FALSE,2.5,2.0,247.0,86.0,1.5,1.3,0.7,0.7,0.04,0.09,51.0,6.0
https://www.bbc.com/sport,95,0,47,229,5,1,12,0,True,90,True,False,12,606.5009765625,1190,False,FALSE,1.6,1.2,198.0,50.0,1.2,0.8,0.6,0.4,0.03,0.09,20.0,4.0
https://www.runnersworld.com/,67,0,14,125,5,0,70,0,True,7,True,True,7,428.2265625,606,True,FALSE,1.6,1.2,358.0,106.0,1.2,0.9,0.4,0.3,0.04,0.07,15.0,3.0
https://www.athleticsweekly.com/,59,0,48,191,5,8,6,42,True,15,False,False,42,170.095703125,887,False,FALSE,3.1,3.5,171.0,164.0,2.4,2.7,1.0,1.8,0.17,0.16,25.0,8.0
https://as.com/,313,0,59,603,2,1,131,5,True,188,True,False,15,724.001953125,2248,True,FALSE,1.4,1.2,255.0,69.0,1.1,0.6,0.3,0.2,0.08,0.08,43.0,8.0
https://www.nbcsports.com/,301,0,58,650,5,0,0,24,True,3,True,False,35,872.087890625,4871,False,FALSE,2.3,1.6,146.0,72.0,1.3,1.0,0.6,0.5,0.02,0.02,17.0,4.0
https://www.canoeicf.com/,116,0,25,251,2,0,67,0,True,10,False,False,6,139.5771484375,1407,False,FALSE,2.5,2.2,159.0,42.0,1.9,1.9,1.1,1.4,0.03,0.05,15.0,2.0
https://www.triathlon.org/,24,0,15,190,2,6,0,0,True,2,True,True,12,64.779296875,925,True,FALSE,2.8,3.0,129.0,41.0,2.7,2.9,2.4,2.6,0.01,0.01,13.0,2.0
https://www.eurosport.es/,19,0,69,286,2,0,3,23,True,18,True,False,5,1023.740234375,688,True,FALSE,2.4,1.7,407.0,87.0,1.6,1.2,0.8,0.8,0.1,0.02,31.0,4.0
https://www.boxingscene.com/,12,0,107,83,5,1,1,24,True,3,True,True,5,53.5654296875,548,True,FALSE,1.9,1.5,96.0,43.0,1.8,1.4,1.0,0.9,0.0,0.05,12.0,5.0
https://www.cbssports.com/,119,0,89,567,2,1,3,55,True,12,True,False,16,510.2060546875,1894,True,FALSE,2.3,2.2,244.0,132.0,1.7,1.1,0.5,0.3,0.09,0.11,44.0,14.0
http://elgoldigital.com/,47,0,58,126,2,1,5,0,False,1,True,False,15,271.1162109375,1019,False,FALSE,1.3,0.8,219.0,87.0,1.2,0.7,0.6,0.2,0.1,0.0,23.0,2.0
https://www.nhl.com/,79,0,53,166,2,0,11,62,True,0,True,False,10,254.388671875,1028,False,FALSE,2.6,2.0,146.0,68.0,1.1,0.9,0.6,0.5,0.09,0.08,19.0,3.0
https://www.eurosport.com/,19,0,69,286,2,0,3,23,True,18,True,False,5,1023.740234375,688,True,FALSE,1.9,1.4,401.0,75.0,1.6,1.1,0.8,0.7,0.09,0.02,22.0,3.0
https://www.paralympic.org/,61,0,42,156,2,0,29,8,True,0,True,False,19,132.9375,504,True,FALSE,3.5,3.4,227.0,62.0,3.2,3.1,2.4,2.5,0.13,0.1,15.0,3.0
https://www.sportsnet.ca/,0,0,46,2,2,0,0,0,True,0,True,False,5,13.556640625,9,False,FALSE,2.4,2.8,127.0,72.0,1.3,1.2,0.5,0.3,0.23,0.28,14.0,3.0
https://www.gymnastics.sport/,8,0,14,137,0,0,0,3,True,0,True,False,9,565.2138671875,682,False,FALSE,2.5,2.2,163.0,55.0,2.0,1.8,0.8,0.7,0.01,0.15,12.0,2.0
https://www.motorsport.com/,71,0,58,616,2,0,0,21,True,63,True,False,10,888.677734375,2136,False,FALSE,1.2,1.2,179.0,67.0,1.0,0.8,0.5,0.4,0.02,0.04,25.0,4.0
https://www.premierleague.com/,97,0,56,309,2,0,7,10,True,2,True,False,8,352.8388671875,1629,False,FALSE,3.4,1.8,211.0,55.0,2.3,1.2,1.0,0.6,0.14,0.17,25.0,3.0
https://www.marca.com/,95,0,52,559,2,1,67,0,True,12,True,True,57,718.3876953125,2595,False,FALSE,1.8,1.4,283.0,73.0,1.3,0.8,0.3,0.2,0.11,0.14,36.0,3.0
https://www.padelfip.com/,155,0,40,180,5,0,22,2,True,13,True,False,13,159.08203125,421,False,FALSE,2.0,1.8,107.0,49.0,1.5,1.4,1.0,1.0,0.06,0.12,10.0,2.0
https://olympics.com/en/,49,0,55,109,5,0,4,14,True,2,True,True,15,285.2998046875,293,False,FALSE,1.7,1.4,460.0,98.0,1.5,1.1,0.8,0.7,0.07,0.04,28.0,6.0
https://www.sailing.org/,11,0,20,38,2,0,2,12,True,5,True,False,2,1527.994140625,199,False,FALSE,2.7,2.5,178.0,65.0,2.1,1.8,1.2,1.1,0.23,0.51,14.0,3.0
https://www.golfdigest.com/,144,0,66,282,2,4,10,13,True,6,True,True,28,525.92578125,2456,True,FALSE,2.3,2.1,161.0,85.0,1.8,1.6,0.6,0.7,0.14,0.19,26.0,6.0
https://www.ittf.com/,2,0,60,146,5,1,3,8,True,10,True,False,13,96.017578125,518,False,FALSE,2.0,1.8,155.0,49.0,1.7,1.5,1.1,1.1,0.0,0.05,24.0,2.0
https://www.worldsurfleague.com/,2,0,46,193,2,0,0,7,True,59,True,False,12,876.8955078125,4808,True,FALSE,3.2,3.4,346.0,153.0,2.7,2.6,1.8,1.8,0.09,0.89,74.0,7.0
https://www.foxsports.com/,135,0,78,253,5,1,16,52,True,1,True,False,17,1089.5947265625,1778,False,FALSE,2.5,2.3,236.0,126.0,1.8,1.4,0.8,0.6,0.02,0.03,32.0,7.0
https://www.tennis.com/,48,0,62,175,2,0,53,25,True,23,True,False,24,469.701171875,1414,False,FALSE,2.6,1.8,142.0,58.0,1.8,1.2,0.8,0.6,0.08,0.2,16.0,3.0
https://www.eurobasket.com/,115,0,51,566,2,0,0,0,True,60,True,False,112,135.58203125,1976,True,FALSE,2.0,2.4,119.0,54.0,1.8,1.8,1.1,1.1,0.06,0.12,14.0,3.0
https://www.iihf.com/,20,0,11,189,2,0,0,3,True,9,True,False,4,74.556640625,551,False,FALSE,1.4,1.4,130.0,36.0,1.1,0.9,0.5,0.5,0.0,0.15,12.0,2.0
https://www.tennischannel.com/,0,0,13,0,2,0,0,0,True,0,False,False,0,1.658203125,1,False,FALSE,6.8,7.5,237.0,144.0,5.4,4.9,1.0,1.2,0.97,0.64,221.0,3.0
