Website,Images,Gifs,Title Size,Links,Languages,h1,h2,h3,HTTPS,Paragraphs,Meta Description,Meta Keywords,JS Scripts,Size KB,Words,Cookies,MENA
https://olympics.com/en/,49,0,55,109,5,0,4,14,True,2,True,True,15,285.3134765625,292,False,FALSE
https://www.sailing.org/,11,0,20,38,2,0,2,12,True,5,True,False,2,1527.994140625,199,False,FALSE
https://www.iwf.net/,40,0,40,286,5,0,10,0,True,71,False,False,20,556.220703125,1698,False,FALSE
https://www.golfdigest.com/,144,0,66,282,2,4,10,13,True,6,True,True,28,525.81640625,2445,True,FALSE
https://www.nascar.com/,,,,,,,,,,,,,,,,,
https://www.worldsquash.org/,,,,,,,,,,,,,,,,,
https://www.isportconnect.com/,6,0,78,70,5,1,3,7,True,46,False,False,11,54.2373046875,503,True,FALSE
https://www.ittf.com/,2,0,60,146,5,1,3,8,True,10,True,False,13,96.017578125,518,False,FALSE
https://www.worldsurfleague.com/,2,0,46,193,2,0,0,7,True,59,True,False,12,875.99609375,4789,True,FALSE
https://www.n3xtsports.com/,20,0,18,55,5,4,10,0,True,23,True,False,14,187.50390625,430,False,FALSE
https://www.foxsports.com/,131,0,78,253,5,1,16,52,True,1,True,False,17,1099.2822265625,1771,False,FALSE
https://www.tennis.com/,51,0,62,184,2,0,56,25,True,26,True,False,24,349.1728515625,1446,False,FALSE
https://www.eurobasket.com/,108,0,51,559,2,0,0,0,True,60,True,False,112,134.1044921875,1935,True,FALSE
https://www.iihf.com/,20,0,11,189,2,0,0,3,True,9,True,False,4,74.5556640625,551,False,FALSE
https://www.tennischannel.com/,0,0,13,0,2,0,0,0,True,0,False,False,0,1.658203125,1,False,FALSE
https://www.fina.org/,2,0,14,128,2,0,15,22,True,3,True,False,4,255.703125,485,False,FALSE
https://www.swimmingworldmagazine.com/,14,0,30,167,0,0,11,0,True,1,False,False,6,61.4033203125,967,False,FALSE
https://www.sportbusiness.com/,26,0,75,109,5,0,8,25,True,1,True,False,17,123.044921875,537,True,FALSE
https://www.sport.es/es/,196,0,62,1050,2,1,182,0,True,93,True,True,52,586.185546875,3241,False,FALSE
https://soccerex.com/,28,0,30,57,5,6,5,0,True,24,False,False,24,611.4853515625,857,False,FALSE
https://www.worldathletics.org/,38,0,43,82,2,17,0,2,True,26,True,True,2,1596.3056640625,264,False,FALSE
https://www.eldesmarque.com/,55,0,67,461,2,1,114,2,True,7,True,False,49,313.669921875,2479,False,FALSE
https://www.ijf.org/,28,0,39,175,2,0,0,0,True,5,True,True,9,105.4365234375,563,True,FALSE
https://www.redbull.com/,38,0,37,50,2,1,1,0,True,60,True,False,8,789.890625,339,False,FALSE
https://usagym.org/,45,0,16,216,0,0,4,13,True,9,True,False,14,94.2919921875,802,True,FALSE
https://fcbusiness.co.uk/,19,0,70,70,2,0,9,6,True,0,True,False,8,73.794921875,433,False,FALSE
https://worldarchery.org/,34,0,13,119,2,0,7,19,True,4,True,False,4,165.787109375,489,False,FALSE
https://www.usatoday.com/sports/,,,,,,,,,,,,,,,,,
https://www.ifsc-climbing.org/,51,0,67,151,2,1,8,0,True,7,True,False,82,507.9443359375,508,False,FALSE
https://www.forbes.com/,0,0,6,184,2,0,15,3,True,4,True,True,14,393.5966796875,646,True,FALSE
https://worldcurling.org/,16,0,20,70,5,1,5,9,True,21,False,False,4,85.2607421875,317,False,FALSE
https://www.mundodeportivo.com/,192,0,65,446,2,1,188,2,True,395,True,False,41,743.2421875,3182,False,FALSE
https://sport360.com/,28,0,29,83,5,0,2,0,True,14,True,False,42,114.41796875,478,True,TRUE
https://www.kingfut.com/,,,,,,,,,,,,,,,,,
https://ipl.ae/,46,0,36,185,5,1,40,2,True,2,True,False,17,185.982421875,988,False,TRUE
https://sportsjournal.io/,235,0,51,405,5,2,27,37,True,216,True,False,179,791.720703125,3870,True,TRUE
https://www.beachridersdubai.com/,67,0,69,188,5,0,11,20,True,28,True,False,12,205.130859375,1067,False,TRUE
https://www.okaz.com.sa/,97,0,76,301,2,1,1,43,True,0,True,True,16,233.5,1813,True,TRUE
https://www.emaratalyoum.com/,93,0,70,245,2,1,29,80,True,75,True,True,21,149.0595703125,2390,False,TRUE
https://gulfnews.com/,120,0,99,614,2,0,125,17,True,3,True,True,9,216.36328125,1694,True,TRUE
https://www.albawaba.com/,59,0,70,163,2,0,16,54,True,3,True,True,13,138.9140625,861,False,TRUE
https://www.dailysabah.com/,78,0,59,499,2,2,32,85,True,0,True,True,22,261.7685546875,1457,False,TRUE
https://www.gdnonline.com/,,,,,,,,,,,,,,,,,
https://middleeastgaa.com/,66,0,15,103,5,1,5,11,True,4,False,False,11,148.0458984375,358,False,TRUE
https://www.sealifedubai.com/,39,0,68,100,5,0,6,2,True,39,True,False,11,616.849609375,1082,False,TRUE
https://kuwaitcricketclub.com/,152,0,36,211,2,0,121,0,True,0,True,False,7,232.13671875,1576,True,TRUE
